French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
demande,request
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
eux,them
ville,city
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
place,square
compris,understood
étaient,were
voici,here is
affaire,case
donner,give
type,type
donné,given
train,train
corps,body
endroit,place
yeux,eyes
écoute,listen
dont,whose
premier,first
perdu,lost
première,first
côté,side
pouvoir,power
sois,be
matin,morning
enfant,child
venu,came
suite,after
devant,in front of
vers,towards
chambre,bedroom
mis,placed
droit,law
aujourd'hui,today
mari,husband
espère,hope
parti,left
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
donne,given
croire,believe
chérie,sweetheart
gros,large
aura,will have
bureau,office
